city,date,aqi,pm25,pm10,no2,co,so2,o3,temperature,humidity,wind_speed,pressure,dominant_pollutant,lat,lng,days_since_update,freshness,is_high_pollution,data_quality,freshness_status
Vilnius,2026-09-17 18:00:00,14.0,26.0,12.0,10.68,0.1,2.87,14.2,14.1,91.8,2.5,1011.3,o3,54.7117424,25.2974345,0,Live,False,good,Live
Valparaiso,2026-09-17 12:00:00,38.0,38.0,24.92,10.68,12.03,2.87,23.77,24.0,38.0,1.0,1014.0,pm25,-33.049743798096,-71.614167231712,0,Live,False,poor,Live
New York,2026-09-17 10:00:00,28.0,28.0,24.92,10.68,12.03,2.87,23.77,27.2,69.4,5.7,1023.5,pm25,40.7127837,-74.0059413,0,Live,False,poor,Live
Los Angeles,2026-09-17 08:00:00,40.0,40.0,14.0,6.3,12.03,0.5,24.8,21.3,72.4,,1040.2,pm25,34.06653,-118.22676,0,Live,False,poor,Live
Chicago,2026-09-17 10:00:00,17.0,17.0,24.92,10.68,12.03,2.87,23.77,21.9,95.8,1.8,1023.0,pm25,41.9136,-87.7239,0,Live,False,poor,Live
Houston,2026-09-17 10:00:00,22.0,44.26,24.92,6.3,12.03,2.87,21.6,29.4444,79.6,4.2,1019.4,o3,29.686389,-95.294722,0,Live,False,partial,Live
Toronto,2026-09-17 12:00:00,30.0,30.0,24.92,17.0,3.4,0.2,6.4,21.0,73.0,1.5,1022.6,pm25,43.653226,-79.3831843,0,Live,False,poor,Live
Vancouver,2026-09-17 08:00:00,30.0,30.0,24.92,6.3,0.1,2.87,1.7,14.4,90.3,12.5,1019.0,pm25,49.26029,-123.077811,0,Live,False,good,Live
Ottawa,2026-09-17 12:00:00,17.0,17.0,24.92,3.2,5.0,0.2,14.5,0.0,81.0,0.1,1031.7,pm25,45.4215296,-75.6971931,0,Live,False,poor,Live
Mexico City,2026-09-17 10:00:00,25.0,25.0,17.0,13.9,7.8,1.5,16.8,20.0,52.0,3.6,1031.1,pm25,19.42461,-99.119594,0,Live,False,poor,Live
Monterrey,2026-09-17 10:00:00,72.0,72.0,55.0,12.8,8.8,4.6,13.6,29.0,62.0,3.0,1022.6,pm25,25.73,-100.30972222222,0,Live,False,poor,Live
Guadalajara,2026-09-17 10:00:00,58.0,58.0,38.0,10.68,12.03,2.87,18.5,21.0,64.0,4.1,1027.7,pm25,20.680450840176,-103.39873310432,0,Live,False,partial,Live
Philadelphia,2026-09-17 11:00:00,32.0,32.0,24.92,6.5,2.3,1.5,27.2,26.8,71.1,5.1,1019.5,pm25,39.923969,-75.122317,0,Live,False,poor,Live
Phoenix,2026-09-17 09:00:00,27.0,27.0,9.0,4.7,1.2,2.87,24.1,27.0,69.0,3.0,1017.9,pm25,33.403055555556,-112.07527777778,0,Live,False,poor,Live
Seattle,2026-09-17 10:00:00,14.0,14.0,24.92,5.6,500.0,2.87,23.77,16.0,82.0,2.0,1017.6,pm25,47.597222,-122.319722,0,Live,False,partial,Live
Denver,2026-09-17 09:00:00,21.0,17.0,21.0,3.7,4.3,0.6,10.2,21.0,60.5,4.2,1024.8,pm10,39.751184,-104.987625,0,Live,False,poor,Live
Atlanta,2026-09-17 10:00:00,42.0,27.0,24.92,10.68,12.03,0.6,42.4,27.0,57.0,2.5,1027.0,o3,33.720192,-84.357056,0,Live,False,partial,Live
Miami,2026-09-17 10:00:00,22.0,22.0,19.0,10.68,12.03,2.87,23.77,26.0,83.0,1.5,1018.9,pm25,25.794722222222,-80.215555555556,0,Live,False,partial,Live
Boston,2026-09-17 11:00:00,34.0,25.0,15.0,7.5,3.4,0.8,33.6,22.0,78.0,5.6,1023.3,o3,42.3584308,-71.0597732,0,Live,False,poor,Live
Portland,2026-09-17 08:00:00,32.0,32.0,24.92,8.4,0.1,2.87,0.1,16.7,72.4,1.4,1016.2,pm25,45.496641,-122.602877,0,Live,False,good,Live
Minneapolis,2026-09-17 10:00:00,5.0,44.26,5.0,10.68,12.03,2.87,23.77,16.8,92.2,,1058.2,pm10,45.013611,-93.272049,0,Live,False,poor,Live
Sao Paulo,2026-09-17 13:00:00,30.0,30.0,22.0,14.7,2.8,2.87,10.6,17.2,84.4,0.8,1032.3,pm25,-23.544845659,-46.627675592,0,Live,False,poor,Live
Santiago,2026-09-17 12:00:00,117.0,117.0,91.0,44.6,6.9,2.87,14.5,24.0,38.0,1.0,1014.0,pm25,-33.464142,-70.660797,0,Live,False,poor,Live
Lima,2026-09-17 10:00:00,88.0,88.0,54.0,17.0,38.4,15.2,22.6,24.3,65.4,4.1,1012.9,pm25,-12.07054,-77.04322,0,Live,False,poor,Live
Bogota,2026-09-17 10:00:00,34.0,34.0,13.0,1.5,2.3,0.5,8.2,14.8,62.0,0.2,1030.0,pm25,4.5725,-74.0836,0,Live,False,poor,Live
Quito,2026-09-17 10:00:00,53.0,53.0,24.92,18.5,5.2,8.6,40.9,20.31,27.0,1.47,1025.0,pm25,-0.221393,-78.514005,0,Live,False,poor,Live
Medellin,2026-09-17 06:00:00,53.0,53.0,24.92,10.68,12.03,2.87,23.77,31.0,33.0,3.6,1019.0,pm25,6.2904806,-75.5555191,0,Live,False,poor,Live
Buenos Aires,2026-09-13 23:00:00,,44.26,13.0,5.1,3.7,2.87,23.77,12.0,56.0,3.0,1021.6,,-34.5995674,-58.3915767,3,Recent,False,partial,Recent
Sydney,2026-09-18 02:00:00,27.0,27.0,14.0,24.8,2.9,2.87,0.3,11.0,76.0,3.6,1027.0,pm25,-33.872468,151.213337,-1,Live,False,poor,Live
Melbourne,2026-09-18 02:00:00,61.0,61.0,11.0,3.8,1.5,0.8,8.0,8.1,85.5,0.5,1029.7,pm25,-37.8073959,144.97,-1,Live,False,poor,Live
Brisbane,2026-09-18 02:00:00,19.0,19.0,11.0,10.68,12.03,2.87,23.77,13.3,70.0,0.2,1028.6,pm25,-27.4774,153.0281,-1,Live,False,partial,Live
Auckland,2026-09-18 05:00:00,1.0,44.26,24.92,0.5,12.03,1.1,23.77,13.6,91.8,1.7,1002.5,so2,-36.9,174.81,-1,Live,False,partial,Live
Perth,2026-09-17 16:00:00,11.0,11.0,4.0,10.3,12.03,2.87,23.77,12.6,75.6,19.2,997.7,pm25,56.399327,-3.434182,0,Live,False,partial,Live
Abu Dhabi,2026-09-17 20:00:00,163.0,163.0,77.0,8.3,12.03,13.2,66.2,35.0,57.5,2.0,1005.0,pm25,24.430161959449,54.408089939621,0,Live,True,poor,Live
Kuwait City,2026-09-17 19:00:00,76.0,69.0,76.0,16.5,5.3,3.1,11.1,42.1,20.1,5.7,1004.3,pm10,29.31773052,47.93243708,0,Live,False,poor,Live
Tel Aviv,2026-09-17 18:00:00,56.0,56.0,25.0,7.3,12.03,1.3,38.7,33.0,40.0,2.8,1007.0,pm25,32.066158,34.777819,0,Live,False,poor,Live
Amman,2026-09-17 00:00:00,3.0,44.26,26.0,35.4,12.03,3.1,23.77,36.2,13.5,2.5,924.9,so2,31.93544,35.94458,0,Live,False,partial,Live
Tashkent,2026-09-17 22:00:00,106.0,106.0,88.0,10.68,0.1,5.6,0.1,29.7,21.4,2.0,955.8,pm25,41.31086,69.24074,0,Live,False,poor,Live
Almaty,2026-09-17 20:00:00,4.0,44.26,24.92,9.2,4.1,2.87,23.77,19.5,33.0,0.5,1017.0,co,43.222,76.851,0,Live,False,partial,Live
Baku,2026-09-17 19:00:00,50.0,50.0,24.92,10.68,12.03,2.87,23.77,23.0,83.0,6.1,1012.5,pm25,40.386993,49.842945,0,Live,False,poor,Live
Tbilisi,2026-09-17 20:00:00,55.0,55.0,27.0,10.68,12.03,2.87,23.77,25.5,55.5,0.5,1014.0,pm25,41.708829,44.799661,0,Live,False,partial,Live
Moscow,2026-09-16 16:00:00,30.0,30.0,18.0,6.0,2.8,0.9,19.0,17.0,44.8,1.0,998.8,pm25,55.759354,37.595584,1,Live,False,poor,Live
Delhi,2026-09-17 20:00:00,64.0,63.0,64.0,31.8,13.6,13.4,4.4,30.566666666666663,62.93333333333334,0.5333333333333333,985.9333333333334,pm10,28.612498,77.237388,0,Live,False,poor,Live
Faridabad,2026-09-17 20:00:00,132.0,132.0,101.0,9.6,6.1,2.2,11.7,30.35,76.05,0.5,993.1,pm25,28.499727,77.267095,0,Live,False,poor,Live
Johannesburg,2026-09-16 11:00:00,32.0,32.0,12.0,0.2,12.03,1.5,23.77,11.6,93.0,,1017.5,pm25,-26.107035,28.110264,1,Live,False,good,Live
Addis Ababa,2026-09-17 18:00:00,91.0,91.0,24.92,10.68,12.03,2.87,23.77,18.0,77.0,2.0,1027.0,pm25,9.058498,38.761642,0,Live,False,poor,Live
Cairo,2025-03-04 13:00:00,57.0,57.0,24.92,10.68,12.03,2.87,23.77,20.0,42.0,5.6,1011.0,pm25,30.0412457,31.2332942,562,Stale,False,poor,Stale
